Prediction,Target,log,Final
"public class A { @ Override public void visit ( String key , Object value ) { log . debug ( ""Load annotation attribute {} = {} ({})"" , name , value , value . getClass ( ) . getName ( ) ) ; if ( ""ordinal"" . equals ( name ) ) { extensionInfo . ordinal = Integer . parseInt ( value . toString ( ) ) ; } else if ( ""plugins"" . equals ( name ) ) { if ( value instanceof String ) { log . debug ( ""Found plugins {}"" , Arrays . toString ( ( String ) value ) ) ; extensionInfo . plugins . add ( ( String ) value ) ; } else if ( value instanceof String [ ] ) { log . debug ( ""Found plugins {}"" , Arrays . toString ( ( String [ ] ) value ) ) ; extensionInfo . plugins . addAll ( Arrays . asList ( ( String [ ] ) value ) ) ; } else { log . debug ( ""Found plugin {}"" , value . toString ( ) ) ; extensionInfo . plugins . add ( value . toString ( ) ) ; } } else { String pointClassName = ( ( Type ) value ) . getClassName ( ) ; log . debug ( ""Found point "" + pointClassName ) ; extensionInfo . points . add ( pointClassName ) ; } super . visit ( key , value ) ; } }","public class A { @ Override public void visit ( String key , Object value ) { log . debug ( ""Load annotation attribute {} = {} ({})"" , name , value , value . getClass ( ) . getName ( ) ) ; if ( ""ordinal"" . equals ( name ) ) { extensionInfo . ordinal = Integer . parseInt ( value . toString ( ) ) ; } else if ( ""plugins"" . equals ( name ) ) { if ( value instanceof String ) { log . debug ( ""Found plugin {}"" , value ) ; extensionInfo . plugins . add ( ( String ) value ) ; } else if ( value instanceof String [ ] ) { log . debug ( ""Found plugins {}"" , Arrays . toString ( ( String [ ] ) value ) ) ; extensionInfo . plugins . addAll ( Arrays . asList ( ( String [ ] ) value ) ) ; } else { log . debug ( ""Found plugin {}"" , value . toString ( ) ) ; extensionInfo . plugins . add ( value . toString ( ) ) ; } } else { String pointClassName = ( ( Type ) value ) . getClassName ( ) ; log . debug ( ""Found point "" + pointClassName ) ; extensionInfo . points . add ( pointClassName ) ; } super . visit ( key , value ) ; } }","log . debug ( ""Found plugin {}"" , value ) ;",Same Information
"public class A { @ POST @ Path ( ""/transfers/reply"" ) @ Consumes ( MediaType . APPLICATION_XML ) @ Produces ( MediaType . APPLICATION_JSON ) @ Secured ( permission = TRANSFERS_REPLY , description = ""Start transfer reply workflow."" ) public Response transferReply ( InputStream transferReply ) { try ( AccessInternalClient client = accessInternalClientFactory . getClient ( ) ) { return client . startTransferReplyWorkflow ( transferReply ) . toResponse ( ) ; } catch ( Exception e ) { logger . error ( ""Exception during startTransferReplyWorkflow"" , e ) ; return Response . status ( Status . INTERNAL_SERVER_ERROR ) . entity ( getErrorEntity ( Status . INTERNAL_SERVER_ERROR , e . getLocalizedMessage ( ) ) ) . build ( ) ; } } }","public class A { @ POST @ Path ( ""/transfers/reply"" ) @ Consumes ( MediaType . APPLICATION_XML ) @ Produces ( MediaType . APPLICATION_JSON ) @ Secured ( permission = TRANSFERS_REPLY , description = ""Start transfer reply workflow."" ) public Response transferReply ( InputStream transferReply ) { try ( AccessInternalClient client = accessInternalClientFactory . getClient ( ) ) { return client . startTransferReplyWorkflow ( transferReply ) . toResponse ( ) ; } catch ( Exception e ) { LOGGER . error ( e ) ; return Response . status ( Status . INTERNAL_SERVER_ERROR ) . entity ( getErrorEntity ( Status . INTERNAL_SERVER_ERROR , e . getLocalizedMessage ( ) ) ) . build ( ) ; } } }",LOGGER . error ( e ) ;,Same Information
"public class A { protected final void setChannelError ( @ Nullable final Throwable cause ) { if ( hasException ( ) ) { return ; } LOG . error ( ""Channel {} not set due to {}"" , address , cause . getMessage ( ) ) ; exception . set ( cause ) ; } }","public class A { protected final void setChannelError ( @ Nullable final Throwable cause ) { if ( hasException ( ) ) { return ; } LOG . error ( String . format ( ""A channel exception set on %s"" , toString ( ) ) ) ; exception . set ( cause ) ; } }","LOG . error ( String . format ( ""A channel exception set on %s"" , toString ( ) ) ) ;",Same Information
"public class A { public static void changeCharsetToUtf ( JdbcConnection jdbcCon ) throws DatabaseException , SQLException { Statement stmt = jdbcCon . createStatement ( ) ; String dbName = jdbcCon . getCatalog ( ) ; String sql = String . format ( ""ALTER DATABASE `%s` CHARACTER SET utf8mb4 COLLATE utf8mb4_general_ci;"" , dbName ) ; int result = stmt . executeUpdate ( sql ) ; logger . info ( ""Changed MySQL charset of '{}' with result {}"" , dbName , result ) ; } }","public class A { public static void changeCharsetToUtf ( JdbcConnection jdbcCon ) throws DatabaseException , SQLException { Statement stmt = jdbcCon . createStatement ( ) ; String dbName = jdbcCon . getCatalog ( ) ; String sql = String . format ( ""ALTER DATABASE `%s` CHARACTER SET utf8mb4 COLLATE utf8mb4_general_ci;"" , dbName ) ; int result = stmt . executeUpdate ( sql ) ; LOGGER . info ( ""ALTER charset execute result: {}"" , result ) ; } }","LOGGER . info ( ""ALTER charset execute result: {}"" , result ) ;",Same Information
"public class A { public String encrypt ( final String str ) { try { byte [ ] utf8 = str . getBytes ( ""UTF8"" ) ; byte [ ] enc = ecipher . doFinal ( utf8 ) ; return Base64 . encodeBase64String ( enc ) ; } catch ( UnsupportedEncodingException e ) { LOGGER . trace ( ""DesEncrypter unsupported encoding exception"" , e ) ; throw new ApplicationException ( ""DesEncrypter failed - UnsupportedEncodingException "" , e ) ; } catch ( GeneralSecurityException e ) { LOGGER . trace ( ""DesEncrypter encryption failed - GeneralSecurityException"" , e ) ; throw new ApplicationException ( ""DesEncrypter encryption failed - GeneralSecurityException"" , e ) ; } } }","public class A { public String encrypt ( final String str ) { try { byte [ ] utf8 = str . getBytes ( ""UTF8"" ) ; byte [ ] enc = ecipher . doFinal ( utf8 ) ; return Base64 . encodeBase64String ( enc ) ; } catch ( UnsupportedEncodingException e ) { LOGGER . trace ( ""DesEncrypter unsupported encoding exception"" , e ) ; throw new ApplicationException ( ""DesEncrypter failed - UnsupportedEncodingException "" , e ) ; } catch ( GeneralSecurityException e ) { LOGGER . trace ( ""DesEncrypter encryption failed"" , e ) ; throw new ApplicationException ( ""DesEncrypter encryption failed - GeneralSecurityException"" , e ) ; } } }","LOGGER . trace ( ""DesEncrypter encryption failed"" , e ) ;",Same Information
"public class A { @ Override public void run ( ) { webRtcReceiver [ i - 1 ] = new WebRtcEndpoint . Builder ( pipeline ) . build ( ) ; recordingFile [ i - 1 ] = getRecordUrl ( ""-receiver"" + i + extension ) ; recorder [ i - 1 ] = new RecorderEndpoint . Builder ( pipeline , recordingFile [ i - 1 ] ) . withMediaProfile ( mediaProfileSpecType ) . build ( ) ; webRtcSender . connect ( webRtcReceiver [ i - 1 ] ) ; webRtcSender . connect ( recorder [ i - 1 ] ) ; try { getPage ( i ) . subscribeEvents ( ""playing"" ) ; getPage ( i ) . initWebRtc ( webRtcReceiver [ i - 1 ] , WebRtcChannel . AUDIO_AND_VIDEO , WebRtcMode . RCV_ONLY ) ; Assert . assertTrue ( ""Not received media in receiver "" + i , getPage ( i ) . waitForEvent ( ""playing"" ) ) ; recorder [ i - 1 ] . record ( ) ; Thread . sleep ( PLAYTIME_MS ) ; recorder [ i - 1 ] . stopAndWait ( ) ; Thread . sleep ( 4000 ) ; } catch ( InterruptedException e ) { log . error ( ""Exception in receiver "" + i , e ) ; } latch . countDown ( ) ; } }","public class A { @ Override public void run ( ) { webRtcReceiver [ i - 1 ] = new WebRtcEndpoint . Builder ( pipeline ) . build ( ) ; recordingFile [ i - 1 ] = getRecordUrl ( ""-receiver"" + i + extension ) ; recorder [ i - 1 ] = new RecorderEndpoint . Builder ( pipeline , recordingFile [ i - 1 ] ) . withMediaProfile ( mediaProfileSpecType ) . build ( ) ; webRtcSender . connect ( webRtcReceiver [ i - 1 ] ) ; webRtcSender . connect ( recorder [ i - 1 ] ) ; try { getPage ( i ) . subscribeEvents ( ""playing"" ) ; getPage ( i ) . initWebRtc ( webRtcReceiver [ i - 1 ] , WebRtcChannel . AUDIO_AND_VIDEO , WebRtcMode . RCV_ONLY ) ; Assert . assertTrue ( ""Not received media in receiver "" + i , getPage ( i ) . waitForEvent ( ""playing"" ) ) ; recorder [ i - 1 ] . record ( ) ; Thread . sleep ( PLAYTIME_MS ) ; recorder [ i - 1 ] . stopAndWait ( ) ; Thread . sleep ( 4000 ) ; } catch ( InterruptedException e ) { log . error ( ""InterruptedException in receiver "" + i , e ) ; } latch . countDown ( ) ; } }","log . error ( ""InterruptedException in receiver "" + i , e ) ;",Same Information
"public class A { private void scheduleClockSyncJob ( ) { logger . debug ( ""Scheduling clock sync job to run every {} seconds"" , CLOCK_SYNC_INTERVAL_SEC ) ; cancelClockSyncJob ( ) ; clockSyncJob = scheduler . scheduleWithFixedDelay ( ( ) -> { if ( this . isGConcerto ) { try { connector . sendCommand ( NuvoCommand . CFGTIME . getValue ( ) + DATE_FORMAT . format ( new Date ( ) ) ) ; } catch ( NuvoException e ) { logger . debug ( ""Error syncing clock: {}"" , e . getMessage ( ) ) ; } } else { this . cancelClockSyncJob ( ) ; } } , INITIAL_CLOCK_SYNC_DELAY_SEC , CLOCK_SYNC_INTERVAL_SEC , TimeUnit . SECONDS ) ; } }","public class A { private void scheduleClockSyncJob ( ) { logger . debug ( ""Schedule clock sync job"" ) ; cancelClockSyncJob ( ) ; clockSyncJob = scheduler . scheduleWithFixedDelay ( ( ) -> { if ( this . isGConcerto ) { try { connector . sendCommand ( NuvoCommand . CFGTIME . getValue ( ) + DATE_FORMAT . format ( new Date ( ) ) ) ; } catch ( NuvoException e ) { logger . debug ( ""Error syncing clock: {}"" , e . getMessage ( ) ) ; } } else { this . cancelClockSyncJob ( ) ; } } , INITIAL_CLOCK_SYNC_DELAY_SEC , CLOCK_SYNC_INTERVAL_SEC , TimeUnit . SECONDS ) ; } }","logger . debug ( ""Schedule clock sync job"" ) ;",Same Information
"public class A { @ Override protected void onEvent ( Event event ) { boolean initialized = CartridgeAgentConfiguration . getInstance ( ) . isInitialized ( ) ; if ( ! initialized ) { try { TopologyManager . acquireReadLock ( ) ; if ( log . isDebugEnabled ( ) ) { log . debug ( ""Complete topology event received"" ) ; } CompleteTopologyEvent completeTopologyEvent = ( CompleteTopologyEvent ) event ; extensionHandler . onCompleteTopologyEvent ( completeTopologyEvent ) ; } catch ( Exception e ) { if ( log . isErrorEnabled ( ) ) { log . error ( ""Error processing CompleteTopologyEvent"" , e ) ; } } finally { TopologyManager . releaseReadLock ( ) ; } } } }","public class A { @ Override protected void onEvent ( Event event ) { boolean initialized = CartridgeAgentConfiguration . getInstance ( ) . isInitialized ( ) ; if ( ! initialized ) { try { TopologyManager . acquireReadLock ( ) ; if ( log . isDebugEnabled ( ) ) { log . debug ( ""Complete topology event received"" ) ; } CompleteTopologyEvent completeTopologyEvent = ( CompleteTopologyEvent ) event ; extensionHandler . onCompleteTopologyEvent ( completeTopologyEvent ) ; } catch ( Exception e ) { if ( log . isErrorEnabled ( ) ) { log . error ( ""Error processing complete topology event"" , e ) ; } } finally { TopologyManager . releaseReadLock ( ) ; } } } }","log . error ( ""Error processing complete topology event"" , e ) ;",Same Information
"public class A { static boolean hasAddressSpaceChanged ( AddressSpace original , AddressSpace addressSpace ) { boolean changed = false ; if ( ! Objects . equals ( original . getMetadata ( ) , addressSpace . getMetadata ( ) ) ) { log . debug ( ""Metadata changed from {} to {}"" , original . getMetadata ( ) , addressSpace . getMetadata ( ) ) ; changed = true ; } if ( ! Objects . equals ( original . getSpec ( ) , addressSpace . getSpec ( ) ) ) { log . debug ( ""Spec changed from {} to {}"" , original . getSpec ( ) , addressSpace . getSpec ( ) ) ; changed = true ; } if ( ! Objects . equals ( original . getStatus ( ) , addressSpace . getStatus ( ) ) ) { log . debug ( ""Status changed from {} to {}"" , original . getStatus ( ) , addressSpace . getStatus ( ) ) ; changed = true ; } return changed ; } }","public class A { static boolean hasAddressSpaceChanged ( AddressSpace original , AddressSpace addressSpace ) { boolean changed = false ; if ( ! Objects . equals ( original . getMetadata ( ) , addressSpace . getMetadata ( ) ) ) { log . debug ( ""Meta changed from {} to {}"" , original . getMetadata ( ) , addressSpace . getMetadata ( ) ) ; changed = true ; } if ( ! Objects . equals ( original . getSpec ( ) , addressSpace . getSpec ( ) ) ) { log . debug ( ""Spec changed from {} to {}"" , original . getSpec ( ) , addressSpace . getSpec ( ) ) ; changed = true ; } if ( ! Objects . equals ( original . getStatus ( ) , addressSpace . getStatus ( ) ) ) { log . debug ( ""Status changed from {} to {}"" , original . getStatus ( ) , addressSpace . getStatus ( ) ) ; changed = true ; } return changed ; } }","log . debug ( ""Meta changed from {} to {}"" , original . getMetadata ( ) , addressSpace . getMetadata ( ) ) ;",Same Information
"public class A { public synchronized HttpConnection getFreeConnection ( HostConfiguration hostConfiguration ) { HttpConnectionWithReference connection = null ; HostConnectionPool hostPool = getHostPool ( hostConfiguration , false ) ; if ( ( hostPool != null ) && ( hostPool . freeConnections . size ( ) > 0 ) ) { connection = ( HttpConnectionWithReference ) hostPool . freeConnections . removeLast ( ) ; freeConnections . remove ( connection ) ; storeReferenceToConnection ( connection , hostConfiguration , this ) ; if ( LOG . isDebugEnabled ( ) ) { LOG . debug ( ""Getting free connection, hostConfig="" + hostConfiguration ) ; } idleConnectionHandler . remove ( connection ) ; } else if ( LOG . isDebugEnabled ( ) ) { LOG . debug ( ""Unable to get free connection, hostConfig="" + hostConfiguration ) ; } return connection ; } }","public class A { public synchronized HttpConnection getFreeConnection ( HostConfiguration hostConfiguration ) { HttpConnectionWithReference connection = null ; HostConnectionPool hostPool = getHostPool ( hostConfiguration , false ) ; if ( ( hostPool != null ) && ( hostPool . freeConnections . size ( ) > 0 ) ) { connection = ( HttpConnectionWithReference ) hostPool . freeConnections . removeLast ( ) ; freeConnections . remove ( connection ) ; storeReferenceToConnection ( connection , hostConfiguration , this ) ; if ( LOG . isDebugEnabled ( ) ) { LOG . debug ( ""Getting free connection, hostConfig="" + hostConfiguration ) ; } idleConnectionHandler . remove ( connection ) ; } else if ( LOG . isDebugEnabled ( ) ) { LOG . debug ( ""There were no free connections to get, hostConfig="" + hostConfiguration ) ; } return connection ; } }","LOG . debug ( ""There were no free connections to get, hostConfig="" + hostConfiguration ) ;",Same Information
"public class A { private boolean isReachableAndValidHueBridge ( BridgeJsonParameters bridge ) { String host = bridge . getInternalIpAddress ( ) ; String id = bridge . getId ( ) ; String description ; if ( host == null ) { logger . debug ( ""Bridge not discovered: ip is null"" ) ; return false ; } if ( id == null ) { logger . debug ( ""Bridge not discovered: no ID"" ) ; return false ; } if ( id . length ( ) < 10 ) { logger . debug ( ""Bridge not discovered: id {} is shorter then 10."" , id ) ; return false ; } if ( ! id . substring ( 6 , 10 ) . equals ( BRIDGE_INDICATOR ) ) { logger . debug ( ""Bridge not discovered: id {} does not contain bridge indicator {} or its at the wrong position."" , id , BRIDGE_INDICATOR ) ; return false ; } try { description = doGetRequest ( DESC_URL_PATTERN . replace ( ""HOST"" , host ) ) ; } catch ( IOException e ) { logger . debug ( ""Bridge not discovered: Failure accessing description file for ip: {}"" , host ) ; return false ; } if ( ! description . contains ( MODEL_NAME_PHILIPS_HUE ) ) { logger . debug ( ""Bridge not discovered: Description does not containing the model name: {}"" , description ) ; return false ; } return true ; } }","public class A { private boolean isReachableAndValidHueBridge ( BridgeJsonParameters bridge ) { String host = bridge . getInternalIpAddress ( ) ; String id = bridge . getId ( ) ; String description ; if ( host == null ) { logger . debug ( ""Bridge not discovered: ip is null"" ) ; return false ; } if ( id == null ) { logger . debug ( ""Bridge not discovered: id is null"" ) ; return false ; } if ( id . length ( ) < 10 ) { logger . debug ( ""Bridge not discovered: id {} is shorter then 10."" , id ) ; return false ; } if ( ! id . substring ( 6 , 10 ) . equals ( BRIDGE_INDICATOR ) ) { logger . debug ( ""Bridge not discovered: id {} does not contain bridge indicator {} or its at the wrong position."" , id , BRIDGE_INDICATOR ) ; return false ; } try { description = doGetRequest ( DESC_URL_PATTERN . replace ( ""HOST"" , host ) ) ; } catch ( IOException e ) { logger . debug ( ""Bridge not discovered: Failure accessing description file for ip: {}"" , host ) ; return false ; } if ( ! description . contains ( MODEL_NAME_PHILIPS_HUE ) ) { logger . debug ( ""Bridge not discovered: Description does not containing the model name: {}"" , description ) ; return false ; } return true ; } }","logger . debug ( ""Bridge not discovered: id is null"" ) ;",Same Information
"public class A { protected final Service createService ( ) { Service service = null ; URL wsdlURL ; if ( StringUtils . isNotBlank ( wsdlLocation ) && StringUtils . isNotBlank ( serviceName ) ) { try { URIResolver uriResolver = new URIResolver ( ) ; uriResolver . resolve ( """" , wsdlLocation , this . getClass ( ) ) ; wsdlURL = uriResolver . isResolved ( ) ? uriResolver . getURL ( ) : new URL ( wsdlLocation ) ; service = AccessController . doPrivileged ( ( PrivilegedAction < Service > ) ( ) -> Service . create ( wsdlURL , QName . valueOf ( serviceName ) ) ) ; auditRemoteConnection ( wsdlURL ) ; } catch ( Exception e ) { LOGGER . info ( ""Unable to create service from WSDL location. Set log level for \""org.codice.ddf.security.claims.attributequery.common\"" to DEBUG for more information."" ) ; LOGGER . debug ( ""Unable to create service. WSDL_URL: "" + wsdlURL , e ) ; } } return service ; } }","public class A { protected final Service createService ( ) { Service service = null ; URL wsdlURL ; if ( StringUtils . isNotBlank ( wsdlLocation ) && StringUtils . isNotBlank ( serviceName ) ) { try { URIResolver uriResolver = new URIResolver ( ) ; uriResolver . resolve ( """" , wsdlLocation , this . getClass ( ) ) ; wsdlURL = uriResolver . isResolved ( ) ? uriResolver . getURL ( ) : new URL ( wsdlLocation ) ; service = AccessController . doPrivileged ( ( PrivilegedAction < Service > ) ( ) -> Service . create ( wsdlURL , QName . valueOf ( serviceName ) ) ) ; auditRemoteConnection ( wsdlURL ) ; } catch ( Exception e ) { LOGGER . info ( ""Unable to create service from WSDL location. Set log level for \""org.codice.ddf.security.claims.attributequery.common\"" to DEBUG for more information."" ) ; LOGGER . debug ( ""Unable to create service from WSDL location."" , e ) ; } } return service ; } }","LOGGER . debug ( ""Unable to create service from WSDL location."" , e ) ;",Same Information
